molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL237149,COc1ccc(C2=NNC3(S2)C(=O)N(Cc2ccccc2)c2ccccc23)cc1,intermediate,5600.0
CHEMBL290377,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,8.128
CHEMBL78233,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccccc1)C(C)(C)C,active,93.33
CHEMBL308277,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,5.012
CHEMBL77995,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,3.981
CHEMBL77163,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,1.698
CHEMBL445939,CC(C)OC(=O)c1cccc(=O)[nH]1,inactive,67000.0
CHEMBL428762,C(=C/c1ccccc1)\Cn1nnc(Cc2cccnc2)n1,inactive,150000.0
CHEMBL400358,c1ccc(CCCn2nnc(Cc3cccnc3)n2)cc1,inactive,150000.0
CHEMBL251465,c1ccc(CCn2nnc(Cc3cccnc3)n2)cc1,inactive,150000.0
CHEMBL399998,c1cncc(Cc2nn[nH]n2)c1,inactive,150000.0
CHEMBL249249,C(=C/c1ccccc1)\Cn1cc(C2=NCCO2)nn1,inactive,61000.0
CHEMBL249863,c1ccc(CCCn2cc(C3=NCCO3)nn2)cc1,inactive,150000.0
CHEMBL400851,c1ccc(CCn2cc(C3=NCCO3)nn2)cc1,inactive,150000.0
CHEMBL249862,c1ccc(Cn2cc(C3=NCCO3)nn2)cc1,inactive,150000.0
CHEMBL249861,CCCCCCn1cc(C2=NCCO2)nn1,inactive,150000.0
CHEMBL249860,C1=C(n2cc(C3=NCCO3)nn2)CCCC1,inactive,150000.0
CHEMBL249859,CCCCCCOC(=O)c1cccc(S)n1,inactive,105000.0
CHEMBL399999,O=C(Oc1ccsc1)c1cccc(S)n1,inactive,93000.0
CHEMBL250070,O=C(OCc1ccc(Oc2ccccc2)cc1)c1cccc(S)n1,inactive,109000.0
CHEMBL250069,O=C(OCc1cccc(Oc2ccccc2)c1)c1cccc(S)n1,inactive,71000.0
CHEMBL251426,O=C(OCc1cccc(-c2ccccc2)c1)c1cccc(S)n1,inactive,52000.0
CHEMBL251425,O=C(OCc1ccc(-c2ccccc2)cc1)c1cccc(S)n1,inactive,135000.0
CHEMBL251424,O=C(Oc1ccc2ccccc2c1)c1cccc(S)n1,inactive,101000.0
CHEMBL251423,O=C(Oc1cccc2ccccc12)c1cccc(S)n1,inactive,150000.0
CHEMBL399997,O=C(OCc1ccccc1Br)c1cccc(S)n1,inactive,150000.0
CHEMBL251081,O=C(OCc1ccc(Cl)cc1)c1cccc(S)n1,inactive,115000.0
CHEMBL250059,O=C(OCc1cc(F)c(F)cc1F)c1cccc(S)n1,inactive,106000.0
CHEMBL400449,O=C(OCc1cc(F)ccc1F)c1cccc(S)n1,inactive,17000.0
CHEMBL250058,O=C(OCc1c(F)cccc1F)c1cccc(S)n1,inactive,127000.0
CHEMBL250057,O=C(OCc1ccc(F)cc1)c1cccc(S)n1,inactive,112000.0
CHEMBL254611,O=C(OCc1cccc(F)c1)c1cccc(S)n1,inactive,151000.0
CHEMBL254610,O=C(OCCCCOc1ccccc1)c1cccc(S)n1,inactive,78000.0
CHEMBL399908,COc1ccc(COC(=O)c2cccc(S)n2)cc1,inactive,96000.0
